,house_details,price_lakh,other_details
0,"2 BHK Villa  - 1,250 sq ft ROLEX YASHPARK CITY opp to shalimar mannatFaizabad Road, Lucknow",47,Carpet area1008 sq ftStatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
1,"2 BHK Villa  - 1,250 sq ft Amantran villatiwariganjFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
2,"2 BHK Villa  - 1,250 sq ft Rolex amantran villajust opp to bbd universityFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
3,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleNew
4,"2 BHK Independent House  - 1,200 sq ftKursi Road, Lucknow",36,Carpet area934 sq ftStatusReady to moveBathrooms2Balconies1
5,"2 BHK Independent House  - 1,200 sq ftKursi Road, Lucknow",36,Carpet area934 sq ftStatusReady to moveBathrooms2Balconies1
6,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
7,"2 BHK Villa  - 1,250 sq ft Rolex yash park cityFaizabad Road, Lucknow",47,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
8,"2 BHK Villa  - 1,250 sq ft Rolex amantran villa opp to bbd collegeFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
9,"2 BHK Villa  - 1,250 sq ft Rolex amantran villaFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
10,"2 BHK Independent House  - 1,250 sq ft Rolex amantran villaFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
11,"2 BHK Villa  - 1,250 sq ft Rolex amantran villaTiwariganj, Lucknow",48,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
12,"2 BHK Villa  - 1,000 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
13,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
14,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
15,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
16,"2 BHK Villa  - 1,250 sq ft yash park citysafedabadFaizabad Road, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
17,"2 BHK Villa  - 1,250 sq ft JANKI VIHAR COLONYMalhaur Station Road, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
18,"2 BHK Villa  - 1,000 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
19,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
20,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
21,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
22,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
23,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms1New/ResaleNew
24,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
25,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
26,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
27,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
28,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
29,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
30,"2 BHK Villa  - 1,000 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
31,"2 BHK Villa  - 1,000 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleResale
32,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
33,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
34,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms1New/ResaleNew
35,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",25,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
36,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
37,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
38,"2 BHK Villa  - 1,250 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleResale
39,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
40,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
41,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
42,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
