,house_details,price_lakh,other_details
42,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
43,"2 BHK Independent House  - 1,000 sq ftMalhaur Railway Station Road, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
44,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
45,"2 BHK Villa  - 1,000 sq ft Kalpana Residency By Sahu GroupRaebareli Road, Lucknow",27,Carpet area950 sq ftStatusReady to moveBathrooms2Balconies1
46,"2 BHK Independent House  - 900 sq ftBakshi Ka Talab, Lucknow",22.5,StatusUnder ConstructionBathrooms2New/ResaleNew
47,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
48,"1 BHK Independent House  - 402 sq ft destiny homesBanthra Bijnore Road, Lucknow",12,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
49,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
50,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
51,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",28,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
52,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",28,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
53,"2 BHK Independent House  - 1,015 sq ftKalyanpur, Lucknow",44,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies2
54,"2 BHK Villa  - 1,250 sq ft Rolex amantran villaTiwariganj, Lucknow",50,Carpet area1015 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
55,"2 BHK Independent House  - 1,000 sq ftBakshi Ka Talab, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
56,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
57,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
58,"2 BHK Villa  - 1,250 sq ftYash Elite VillasChinhat, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleResale
59,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
60,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
61,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
62,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
63,"2 BHK Villa  - 1,250 sq ftYash Elite VillasChinhat, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleResale
64,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
65,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
66,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
67,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
68,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
69,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
70,"2 BHK Villa  - 1,250 sq ft Rolex yash park cityadjecent shalimar paradiseFaizabad Road, Lucknow",46.99,Carpet area1000 sq ftStatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
71,"2 BHK Villa  - 1,250 sq ft Rolex amantran villaTiwariganj, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
72,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
73,"2 BHK Villa  - 1,250 sq ft ROLEX YASHPARK CITY VILLA OPPOSITE TO SHALIMAR MANNATFaizabad Road, Lucknow",46.99,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
74,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
75,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
76,"2 BHK Villa  - 1,250 sq ft JANKI VIHAR COLONYMalhaur Station Road, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
77,"2 BHK Villa  - 1,250 sq ft Rolex janki viharChinhat, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
78,"2 BHK Villa  - 1,250 sq ft Amantran villa tiwariganjFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
79,"2 BHK Villa  - 1,250 sq ft Janki vihar colonyGomti Nagar, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
80,"2 BHK Villa  - 1,200 sq ft JANKI VIHAR COLONYMalhaur Station Road, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
81,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
82,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
83,"2 BHK Villa  - 1,250 sq ft Janki vihar gomti nagarGomti Nagar, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
84,"2 BHK Villa  - 1,350 sq ft Janki vihar gomti nagarChinhat, Lucknow",46,Carpet area1100 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
85,"2 BHK Villa  - 1,250 sq ft rolex janki viharMalhaur Railway Station Road, Lucknow",46,Carpet area1100 sq ftStatusUnder ConstructionBathrooms2Balconies2
86,"2 BHK Independent House  - 1,120 sq ftjankipuram vistar, Lucknow",40,Carpet area560 sq ftStatusReady to moveBathrooms2New/ResaleResale
87,"2 BHK Independent House  - 1,150 sq ftMati, Lucknow",38,Carpet area1000 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
88,"2 BHK Independent House  - 1,300 sq ftBhitauli, Lucknow",46,Carpet area850 sq ftStatusReady to moveBathrooms1New/ResaleResale
89,"3 BHK Independent House  - 1,400 sq ftNijampur Malhaur, Lucknow",42,Carpet area900 sq ftStatusReady to moveBathrooms1New/ResaleResale
90,"2 BHK Independent House  - 1,100 sq ftBanthra Sikander Pur, Lucknow",35,Carpet area1000 sq ftStatusReady to moveBathrooms1New/ResaleResale
91,"2 BHK Independent House  - 1,000 sq ftJankipuram, Lucknow",38.5,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleNew
92,"3 BHK Independent House  - 1,200 sq ftLolai, Lucknow",38,Carpet area800 sq ftStatusUnder ConstructionBathrooms3New/ResaleNew
93,"2 BHK Independent House  - 1,000 sq ftLolai, Lucknow",35,Carpet area800 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
94,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
95,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
96,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
97,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",46,StatusReady to moveBathrooms2New/ResaleResale
98,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
99,"2 BHK Villa  - 1,000 sq ft Yash park city safedabadFaizabad Road, Lucknow",46,StatusReady to moveBathrooms2Balconies1
100,"2 BHK Villa  - 1,250 sq ft yash park citysafedabadFaizabad Road, Lucknow",49.9,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
101,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",49.99,StatusReady to moveBathrooms2New/ResaleResale
102,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
103,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
104,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
105,"2 BHK Independent House  - 901 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
106,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
107,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
