,house_details,price_lakh,other_details
59,"2 BHK Independent House  - 804 sq ft Destiny homesKanpur Lucknow Road, Lucknow",19.8,Carpet area775 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
60,"2 BHK Independent House  - 966 sq ftIIM Road, Lucknow",40.5,Carpet area900 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
61,"2 BHK Independent House  - 1,200 sq ftIBIS Jankipuram VillasJankipuram, Lucknow",48.5,Carpet area1175 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
62,IBIS Jankipuram Villas ,22,"TypeBuilderFloor, Villa, IndependentHouse, PlotAreaView Floor Plans540 - 3,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
63,"2 BHK Independent House  - 1,200 sq ft jankipuram houseJankipuram Extension, Lucknow",48.5,Carpet area1175 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
64,"2 BHK Independent House  - 966 sq ftIIM Road, Lucknow",40.5,Carpet area900 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
65,"2 BHK Independent House  - 1,000 sq ft Green city homesKanpur Lucknow Road, Lucknow",35,Carpet area980 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
66,"2 BHK Independent House  - 1,000 sq ft Smart city HomesDeva Road, Lucknow",38,Carpet area980 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
67,"2 BHK Independent House  - 1,100 sq ft Ibis ResidencyGomti Nagar Extension, Lucknow",49.75,Carpet area1080 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
68,"2 BHK Independent House  - 600 sq ft Shayam CityGomti Nagar, Lucknow",28,Carpet area580 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
69,"3 BHK Independent House  - 900 sq ft Prem nagar colonyGomti Nagar, Lucknow",42,Carpet area880 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
70,"2 BHK Independent House  - 1,250 sq ft Rishi Vihar ColonyKhurram Nagar, Lucknow",36,Carpet area1230 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
71,"2 BHK Independent House  - 850 sq ftGomti Nagar Extension, Lucknow",34,Carpet area720 sq ftStatusReady to moveBathrooms2Balconies1
72,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",44,StatusReady to moveBathrooms2New/ResaleResale
73,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
74,"2 BHK Villa  - 1,000 sq ft Yash park city safedabadFaizabad Road, Lucknow",45,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
75,"3 BHK Villa  - 1,500 sq ft VILLA IN AMITYGomti Nagar Extn, Lucknow",50,Carpet area1250 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(servant room)
76,"2 BHK Villa  - 1,000 sq ft yash park cityshalimar paradiseSafedabad, Lucknow",46,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
77,"2 BHK Villa  - 750 sq ft prem nagar villaNijampur Malhaur, Lucknow",37.5,StatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
78,"2 BHK Villa  - 1,250 sq ft villa near amity new campusAmity University Road, Lucknow",49.99,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
79,"2 BHK Villa  - 1,000 sq ft Yash Park city adjcent shalimar paradaiseSafedabad, Lucknow",45,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
80,"2 BHK Villa  - 1,250 sq ft yash park city adjcent shalimar paradiseFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
81,"3 BHK Villa  - 1,500 sq ft 3BHK Independent house opp to amity new campus gate 1Nijampur Malhaur, Lucknow",50,StatusReady to moveBathrooms3Additional Rooms1 rooms(pooja room)
82,"3 BHK Independent House  - 1,500 sq ft 3 bhk villa near amity new campusNijampur Malhaur, Lucknow",50,StatusReady to moveBathrooms3Additional Rooms1 rooms(pooja room)
83,"2 BHK Independent House  - 1,250 sq ft 2 bhk makan opp to amity new campusNijampur Malhaur, Lucknow",49,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
84,"2 BHK Villa  - 750 sq ft krishna villa prem nagar colonyAmity University Road, Lucknow",38,StatusReady to moveBathrooms2Balconies1
85,"2 BHK Villa  - 800 sq ft Krishna villa prem nagar colonyMalhaur Station Road, Lucknow",40,StatusReady to moveBathrooms2New/ResaleNew
86,"2 BHK Villa  - 1,250 sq ft Krishna villaGomti Nagar, Lucknow",50,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
87,"3 BHK Villa  - 1,000 sq ft villa opp to amity new campus gate 1Amity Road, Lucknow",45,StatusReady to moveBathrooms3Additional Rooms1 rooms(pooja room)
88,"3 BHK Villa  - 1,500 sq ft villa opp to amity new campus gate 1Malhaur Station Road, Lucknow",50,StatusReady to moveBathrooms3Additional Rooms1 rooms(servant room)
89,"2 BHK Villa  - 1,000 sq ftYash Park CityUattardhona, Lucknow",49.9,StatusReady to moveBathrooms2New/ResaleResale
90,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
91,"3 BHK Villa  - 1,500 sq ft VILLA IN AMITYGomti Nagar Extn, Lucknow",50,Carpet area1250 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(servant room)
92,"2 BHK Villa  - 1,000 sq ft yash park cityshalimar paradiseSafedabad, Lucknow",46,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
93,"2 BHK Villa  - 750 sq ft prem nagar villaNijampur Malhaur, Lucknow",37.5,StatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
94,"2 BHK Villa  - 1,250 sq ft villa near amity new campusAmity University Road, Lucknow",49.99,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
95,"2 BHK Villa  - 1,000 sq ft Yash Park city adjcent shalimar paradaiseSafedabad, Lucknow",45,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
96,"2 BHK Villa  - 1,250 sq ft yash park city adjcent shalimar paradiseFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
97,"2 BHK Independent House  - 966 sq ftIIM Road, Lucknow",40.5,Carpet area900 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
98,"2 BHK Independent House  - 1,200 sq ft jankipuram houseJankipuram Extension, Lucknow",48.5,Carpet area1175 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
99,"3 BHK Independent House  - 1,000 sq ft greencity homesKanpur Lucknow Road, Lucknow",33,Carpet area975 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
100,"3 BHK Independent House  - 1,000 sq ft ambey valleyJankipuram, Lucknow",25,"Carpet area800 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
101,"2 BHK Independent House  - 1,300 sq ft Dreem villa iimIIM Road, Lucknow",44,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies2
102,"2 BHK Independent House  - 1,150 sq ft IBIS Smart cityFaizabad Deva Bypass Road, Lucknow",36,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
103,"2 BHK Independent House  - 930 sq ft ishanika townee iimIIM Road, Lucknow",33.44,Carpet area850 sq ftStatusReady to moveBathrooms2Balconies2
104,"2 BHK Independent House  - 1,300 sq ft Dreem villa iimIIM Road, Lucknow",44,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies2
105,"2 BHK Independent House  - 930 sq ft Ishanika HomesIIM Road, Lucknow",33.44,Carpet area850 sq ftStatusReady to moveBathrooms2Balconies2
106,"2 BHK Independent House  - 1,170 sq ft Smart city HomesDeva Road, Lucknow",36,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
107,"1 BHK Independent House  - 402 sq ft desnty homesKanpur Lucknow Road, Lucknow",9.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
108,"2 BHK Independent House  - 900 sq ft Green city homesKanpur Lucknow Road, Lucknow",25,Carpet area800 sq ftStatusReady to moveBathrooms2Balconies2
109,"1 BHK Independent House  - 402 sq ft destny homesKanpur Lucknow Road, Lucknow",8.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
110,"2 BHK Independent House  - 1,170 sq ft smart city villasFaizabad Road, Lucknow",32,Carpet area100 sq ftStatusReady to moveBathrooms2Balconies2
111,"1 BHK Independent House  - 402 sq ft destny homesKanpur Lucknow Road, Lucknow",8.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
112,"2 BHK Independent House  - 1,170 sq ft ibis smart cityFaizabad Road, Lucknow",32,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
113,"2 BHK Independent House  - 1,400 sq ftIBIS Rishi ViharIndira Nagar, Lucknow",34,Carpet area1200 sq ftStatusReady to moveBathrooms2Balconies2
114,IBIS Rishi Vihar ,30,"TypeBuilderFloor, IndependentHouseCarpet Area1,100 - 1,250 sq ftStatusReady to Move"
115,"2 BHK Independent House  - 1,200 sq ftIBIS Green CityNawabganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
116,IBIS Green City ,1.99,"TypeBuilderFloor, Villa, IndependentHouse, PlotAreaView Floor Plans475 - 1,756 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
117,"3 BHK Independent House  - 1,250 sq ft Amity housesGomti Nagar Extension, Lucknow",40,Carpet area860 sq ftStatusReady to moveBathrooms2Balconies2
118,"1 BHK Independent House  - 402 sq ft destny homesKanpur Lucknow Road, Lucknow",8.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
119,"2 BHK Independent House  - 1,200 sq ft ibis residencyGomti Nagar, Lucknow",49.75,Carpet area1100 sq ftStatusReady to moveBathrooms2Balconies2
120,"2 BHK Independent House  - 1,150 sq ft krishna nagar villaKrishna Nagar, Lucknow",43.7,Carpet area800 sq ftStatusReady to moveBathrooms2Balconies2
121,"2 BHK Independent House  - 1,150 sq ft ibis smart cityFaizabad Road, Lucknow",32,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
122,"2 BHK Independent House  - 1,400 sq ftIBIS Rishi ViharIndira Nagar, Lucknow",34,Carpet area1250 sq ftStatusReady to moveBathrooms2Balconies2
123,IBIS Rishi Vihar ,30,"TypeBuilderFloor, IndependentHouseCarpet Area1,100 - 1,250 sq ftStatusReady to Move"
124,"2 BHK Independent House  - 930 sq ft Ishanika HomesIIM Road, Lucknow",33.44,Carpet area850 sq ftStatusReady to moveBathrooms2Balconies2
125,"3 BHK Independent House  - 1,250 sq ft Amity housesGomti Nagar Extension, Lucknow",40,Carpet area860 sq ftStatusReady to moveBathrooms2Balconies2
126,"2 BHK Independent House  - 1,170 sq ft ibis smart cityFaizabad Road, Lucknow",32,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
127,"1 BHK Independent House  - 402 sq ft destny homesKanpur Lucknow Road, Lucknow",8.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
128,"2 BHK Independent House  - 1,170 sq ft ibis smart cityFaizabad Road, Lucknow",32,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies2
129,"2 BHK Independent House  - 750 sq ft bkt housesBakshi Ka Talab, Lucknow",17.5,Carpet area600 sq ftStatusReady to moveBathrooms1Balconies1
130,"2 BHK Villa  - 1,039 sq ft Eldeco Housing And Industries Imperia Bijnor road LucknowBanthra Bijnore Road, Lucknow",47.5,Carpet area521 sq ftStatusUnder ConstructionBathrooms2Balconies2
131,"3 BHK Villa  - 1,617 sq ft AAHANA HomesFaizabad Road, Lucknow",45,"Carpet area890 sq ftStatusUnder ConstructionBathrooms3Additional Rooms3 rooms(study room, servant room, pooja room)"
132,"2 BHK Villa  - 1,216 sq ft Ahana homesLucknow Faizabad Road, Lucknow",40,"Carpet area816 sq ftStatusUnder ConstructionBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
133,"1 BHK Independent House  - 350 sq ftAnsal Sushant Golf City Greenwood DuplexSushant Golf City, Lucknow",25,Carpet area275 sq ftStatusReady to moveBathrooms2Balconies1
134,Ansal API Sushant Golf City Greenwood Duplex ,27,"TypeIndependentHouse, PlotAreaView Floor Plans500 - 2,160 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
