,house_details,price_lakh,other_details
0,"2 BHK Independent House  - 650 sq ft Fazullaganj houseFazullaganj, Lucknow",25,"Carpet area600 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
1,"2 BHK Villa  - 1,000 sq ft yash builder villa faijabad roadChinhat, Lucknow",46,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
2,"2 BHK Villa  - 1,200 sq ft Yash Builders yash park city adjusent shalimarFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
3,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
4,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
5,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
6,"2 BHK Independent House  - 450 sq ft nature city homesIIM Road, Lucknow",13.5,"Carpet area375 sq ftStatusReady to moveBathrooms1Additional Rooms2 rooms(study room, pooja room)"
7,"2 BHK Independent House  - 1,000 sq ft greencity homesKanpur Lucknow Road, Lucknow",35,"Carpet area950 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
8,"2 BHK Independent House  - 1,000 sq ft Kapish ViharTiwariganj, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
9,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
10,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
11,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
12,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
13,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
14,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
15,"2 BHK Independent House  - 1,000 sq ft Kapish ViharTiwariganj, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
16,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
17,"2 BHK Villa  - 1,133 sq ft ishaneeka towneeIIM Road, Lucknow",36.5,Carpet area1100 sq ftStatusReady to moveBathrooms2Balconies1
18,"2 BHK Villa  - 1,000 sq ft Kapish ViharTiwariganj, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
19,"2 BHK Villa  - 1,100 sq ft green city homesBanthra Bijnore Road, Lucknow",29.9,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
20,"2 BHK Independent House  - 804 sq ft destiny homesBanthra Bijnore Road, Lucknow",18,Carpet area775 sq ftStatusReady to moveBathrooms2Balconies1
21,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
22,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
23,"3 BHK Villa  - 1,295 sq ftLucknow Kanpur Highway, Lucknow",32,"Carpet area800 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
24,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
25,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
26,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
27,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
28,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
29,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
30,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
31,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
32,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",30,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
33,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
34,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
35,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
36,"1 BHK Villa  - 402 sq ft Greenica homesSitapur Road, Lucknow",9,Carpet area400 sq ftStatusReady to moveBathrooms1Balconies1
37,"3 BHK Villa  - 1,200 sq ft Indira villas homesMunshi Pulia, Lucknow",46,Carpet area800 sq ftStatusReady to moveBathrooms3Balconies1
38,"1 BHK Independent House  - 402 sq ftBanthra Bijnore Road, Lucknow",9.25,Carpet area400 sq ftStatusReady to moveBathrooms1Balconies1
39,"3 BHK Independent House  - 1,200 sq ft dream villa homesIIM Road, Lucknow",40,Carpet area800 sq ftStatusReady to moveBathrooms3Balconies1
40,"2 BHK Villa  - 1,133 sq ftIIM Road, Lucknow",36.5,Carpet area950 sq ftStatusReady to moveBathrooms2Balconies1
41,"2 BHK Villa  - 1,200 sq ft ROLEX JANKI VIHARMalhaur Station Road, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
42,"3 BHK Independent House  - 1,560 sq ft green city homesBanthra Bijnore Road, Lucknow",33,Carpet area1100 sq ftStatusReady to moveBathrooms3Balconies1
43,"1 BHK Independent House  - 402 sq ft Dreams homesBanthra Bijnore Road, Lucknow",9.25,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
44,"2 BHK Independent House  - 1,000 sq ft kapish viharFaizabad Road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
45,"2 BHK Independent House  - 402 sq ft Destiny homesKanpur Lucknow Road, Lucknow",9.9,Carpet area375 sq ftStatusReady to moveBathrooms1Balconies1
46,"3 BHK Independent House  - 1,000 sq ft Green city homesKanpur Lucknow Road, Lucknow",33,Carpet area975 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
47,"2 BHK Independent House  - 1,200 sq ft jankipuram housesJankipuram Extension, Lucknow",48.5,Carpet area1175 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
48,"3 BHK Independent House  - 800 sq ftIIM Road, Lucknow",40,Carpet area775 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
49,"2 BHK Independent House  - 1,250 sq ftIBIS Rishi ViharIndira Nagar, Lucknow",34,"Carpet area1200 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
50,IBIS Rishi Vihar ,30,"TypeBuilderFloor, IndependentHouseCarpet Area1,100 - 1,250 sq ftStatusReady to Move"
51,"3 BHK Independent House  - 800 sq ftIIM Road, Lucknow",40,Carpet area775 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
52,"2 BHK Independent House  - 1,250 sq ftIBIS Rishi ViharIndira Nagar, Lucknow",34,Carpet area1200 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
53,IBIS Rishi Vihar ,30,"TypeBuilderFloor, IndependentHouseCarpet Area1,100 - 1,250 sq ftStatusReady to Move"
54,"1 BHK Independent House  - 402 sq ft Desire homesSitapur Road, Lucknow",10.9,"Carpet area375 sq ftStatusReady to moveBathrooms1Additional Rooms2 rooms(study room, pooja room)"
55,"2 BHK Independent House  - 804 sq ft Destiny homesKanpur Lucknow Road, Lucknow",21.8,"Carpet area775 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
56,"3 BHK Independent House  - 1,496 sq ft IbroChinhat Dewa Road, Lucknow",45,"Carpet area880 sq ftStatusUnder ConstructionBathrooms3Additional Rooms3 rooms(study room, servant room, pooja room)"
57,"2 BHK Independent House  - 804 sq ft Destiny homesKanpur Lucknow Road, Lucknow",19.8,Carpet area775 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
58,"2 BHK Independent House  - 1,000 sq ft Smart city HomesDeva Road, Lucknow",38,Carpet area975 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
