,house_details,price_lakh,other_details
0,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
1,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
2,"2 BHK Villa  - 1,250 sq ft YASH PARK CITY HP PETROL PUMPSafedabad, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
3,"2 BHK Villa  - 1,000 sq ft Yash park city adjcent shalimar paradaiseFaizabad Road, Lucknow",46,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
4,"3 BHK Villa  - 1,500 sq ftsultanpur road near shaheed pa, Lucknow",48.5,"StatusReady to moveBathrooms3Additional Rooms3 rooms(study room, servant room, pooja room)"
5,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
6,"2 BHK Independent House  - 1,125 sq ft Green City BanthraBanthra Sikander Pur, Lucknow",50,StatusUnder ConstructionBathrooms2Balconies2
7,"3 BHK Independent House  - 950 sq ftHaibat Mau Mawaiya, Lucknow",48,StatusReady to moveBathrooms2New/ResaleResale
8,"3 BHK Independent House  - 950 sq ftHaibat Mau Mawaiya, Lucknow",48,StatusReady to moveBathrooms2New/ResaleResale
9,"3 BHK Independent House  - 950 sq ftHaibat Mau Mawaiya, Lucknow",48,StatusReady to moveBathrooms2New/ResaleResale
10,"3 BHK Independent House  - 950 sq ftHaibat Mau Mawaiya, Lucknow",48,StatusReady to moveBathrooms2New/ResaleResale
11,"3 BHK Independent House  - 1,500 sq ftAashiyana, Lucknow",45,Carpet area1500 sq ftStatusReady to moveBathrooms3New/ResaleResale
12,"2 BHK Independent House  - 900 sq ftAlambagh, Lucknow",31,Carpet area600 sq ftStatusUnder ConstructionBathrooms2New/ResaleResale
13,"3 BHK Independent House  - 1,550 sq ftSwapnil SangamBijnor, Lucknow",43,Carpet area1100 sq ftStatusUnder ConstructionBathrooms3Balconies1
14,Swapnil Sangam ,38,"TypeIndependentHouseCarpet Area950 - 1,400 sq ftStatusReady to Move"
15,"3 BHK Independent House  - 1,350 sq ftpara road, Lucknow",45,Carpet area900 sq ftStatusReady to moveBathrooms3Balconies1
16,"4 BHK Independent House  - 1,100 sq ftBalaganj, Lucknow",35,StatusReady to moveBathrooms3Balconies1
17,"4 BHK Independent House  - 1,200 sq ftpara road, Lucknow",45,StatusReady to moveBathrooms3Balconies1
18,"2 BHK Independent House  - 1,150 sq ftIIM Road, Lucknow",35,Carpet area900 sq ftStatusUnder ConstructionBathrooms1Balconies2
19,"2 BHK Independent House  - 530 sq ftIndira Nagar, Lucknow",35,Carpet area504 sq ftStatusReady to moveBathrooms1Balconies1
20,"3 BHK Villa  - 1,400 sq ftYash Park CityUattardhona, Lucknow",47,Carpet area1000 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(pooja room)
21,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
22,"2 BHK Independent House  - 1,250 sq ft yash defence cityBijnaur Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
