,house_details,price_lakh,other_details
0,"4 BHK Villa  - 1,000 sq ft Shipra homeSafedabad, Lucknow",34.99,Carpet area700 sq ftStatusReady to moveBathrooms3Balconies2
1,"2 BHK Villa  - 1,000 sq ft Customize HomesKursi Road, Lucknow",25,StatusUnder ConstructionBathrooms2Additional Rooms1 rooms(servant room)
2,"2 BHK Independent House  - 804 sq ftSitapur Road, Lucknow",19,Carpet area750 sq ftStatusReady to moveBathrooms1Additional Rooms1 rooms(study room)
3,"2 BHK Independent House  - 450 sq ft Smart villaSitapur Road, Lucknow",14,Carpet area420 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
4,"1 BHK Independent House  - 1,000 sq ft Sparsh ParadiseSarojini Nagar, Lucknow",24,Carpet area748 sq ftStatusReady to moveBathrooms1New/ResaleNew
5,"2 BHK Villa  - 1,200 sq ftIIM Road Lucknow, Lucknow",40,Carpet area750 sq ftStatusReady to moveBathrooms2Balconies1
6,"3 BHK Independent House  - 1,255 sq ftGangotri CityMohanlalganj, Lucknow",50,Carpet area1200 sq ftStatusReady to moveBathrooms3New/ResaleResale
7,Gangotri City ,7,"TypeIndependentHouse, PlotAreaView Floor Plans1,000 - 2,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
8,"3 BHK Villa  - 1,250 sq ftSwapnil Swapnil ShaubhagyaSouth City, Lucknow",35,Carpet area924 sq ftStatusReady to moveBathrooms3Balconies1
9,Swapnil Swapnil Shaubhagya ,32,"TypeVilla, IndependentHouseAreaView Floor Plans1,050 - 1,750 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
10,"1 BHK Independent House  - 1,000 sq ftDubagga, Lucknow",50,Carpet area900 sq ftStatusReady to moveBathrooms2Balconies1
11,"3 BHK Independent House  - 700 sq ftKursi Road, Lucknow",36,StatusReady to moveBathrooms2New/ResaleNew
12,"3 BHK Independent House  - 700 sq ftKursi Road, Lucknow",36,StatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
13,"3 BHK Independent House  - 960 sq ft dream villa houseIIM Road Lucknow, Lucknow",40,"Carpet area930 sq ftStatusReady to moveBathrooms3Additional Rooms2 rooms(study room, pooja room)"
14,"2 BHK Villa  - 645 sq ftHalwasiya Shivlar Sambandh Phase 1Gosainganj, Lucknow",24,"Carpet area422 sq ftStatusUnder ConstructionBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
