,house_details,price_lakh,other_details
0,"2 BHK Independent House  - 600 sq ftChowk, Lucknow",22,StatusReady to moveNew/ResaleResaleAge of Property7 - 8 years
1,"3 BHK Independent House  - 1,200 sq ftSarojini Nagar, Lucknow",32,StatusReady to moveBathrooms2New/ResaleResale
2,"2 BHK Independent House  - 1,030 sq ftJankipuram, Lucknow",45,StatusReady to moveBathrooms2New/ResaleResale
3,"2 BHK Independent House  - 800 sq ftVasundhara HomeJankipuram, Lucknow",28.8,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
4,Vasundhara Home ,24.5,"TypeVilla, IndependentHouse, ApartmentAreaView Floor Plans640 - 1,650 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
5,"2 BHK Independent House  - 800 sq ftVasundhara HomeJankipuram, Lucknow",28.8,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
6,Vasundhara Home ,24.5,"TypeVilla, IndependentHouse, ApartmentAreaView Floor Plans640 - 1,650 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
7,"2 BHK Independent House  - 800 sq ftVasundhara HomeJankipuram, Lucknow",28.8,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
8,Vasundhara Home ,24.5,"TypeVilla, IndependentHouse, ApartmentAreaView Floor Plans640 - 1,650 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
9,"2 BHK Independent House  - 800 sq ftVasundhara HomeJankipuram, Lucknow",28.8,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
10,Vasundhara Home ,24.5,"TypeVilla, IndependentHouse, ApartmentAreaView Floor Plans640 - 1,650 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
11,"2 BHK Independent House  - 1,250 sq ftYash Park CityUattardhona, Lucknow",50,StatusReady to moveNew/ResaleNewAge of Property1 - 2 years
12,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
13,"2 BHK Independent House  - 800 sq ftJankipuram, Lucknow",32,Carpet area683 sq ftStatusReady to moveBathrooms2New/ResaleNew
14,"3 BHK Villa  - 1,250 sq ftSwapnil Swapnil ShaubhagyaSouth City, Lucknow",42,StatusReady to moveNew/ResaleNewAge of Property4 - 5 years
15,Swapnil Swapnil Shaubhagya ,32,"TypeVilla, IndependentHouseAreaView Floor Plans1,050 - 1,750 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
16,"3 BHK Villa  - 1,050 sq ftSwapnil Swapnil ShaubhagyaSouth City, Lucknow",32,StatusReady to moveNew/ResaleNewAge of Property4 - 5 years
17,Swapnil Swapnil Shaubhagya ,32,"TypeVilla, IndependentHouseAreaView Floor Plans1,050 - 1,750 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
18,"3 BHK Villa  - 1,650 sq ftSwapnil Swapnil ShaubhagyaSouth City, Lucknow",49.99,StatusReady to moveNew/ResaleNewAge of Property4 - 5 years
19,Swapnil Swapnil Shaubhagya ,32,"TypeVilla, IndependentHouseAreaView Floor Plans1,050 - 1,750 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
20,"2 BHK Villa  - 1,000 sq ftAK Dreem Green City Phase 3Sultanpur Road, Lucknow",24,StatusUnder ConstructionNew/ResaleNewPrice NegotiableNo
21,AK Dreem Green City Phase 3 ,1,"TypeVilla, PlotAreaView Floor Plans450 - 1,800 sq fti* 1 sq M = 10.76 sq ftStatusUnder Construction"
22,"3 BHK Villa  - 1,250 sq ftAK Dreem Green City Phase 3Sultanpur Road, Lucknow",35,StatusUnder ConstructionNew/ResaleNewPrice NegotiableNo
23,AK Dreem Green City Phase 3 ,1,"TypeVilla, PlotAreaView Floor Plans450 - 1,800 sq fti* 1 sq M = 10.76 sq ftStatusUnder Construction"
