,house_details,price_lakh,other_details
0,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
1,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
2,"2 BHK Villa  - 1,250 sq ft Yash Park city near shalimar paradiseFaizabad Road, Lucknow",48,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
3,"2 BHK Villa  - 1,000 sq ftYash Park CityUattardhona, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
4,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
5,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",47,StatusReady to moveBathrooms2New/ResaleNew
6,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
7,"2 BHK Villa  - 1,250 sq ft janki vihar colonyChinhat, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
8,"2 BHK Villa  - 1,200 sq ft Yash park city safedabadFaizabad Road, Lucknow",47.99,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
9,"2 BHK Villa  - 1,250 sq ftGomti Nagar Extension, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
10,"2 BHK Villa  - 1,250 sq ft janki vihar colonyChinhat, Lucknow",46,StatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
11,"2 BHK Villa  - 1,250 sq ft Rolex yash park cityFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
12,"2 BHK Villa  - 1,250 sq ft Janki Vihar colony opp to vikalp khandChinhat, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
13,"2 BHK Villa  - 1,250 sq ft janki vihar eldico tirahaRama Degree College Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
14,"2 BHK Villa  - 1,250 sq ft janki vihar colonyMalhaur Railway Station Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
15,"2 BHK Villa  - 1,350 sq ft janki vihar colonyChinhat, Lucknow",46,Carpet area1100 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
