,house_details,price_lakh,other_details
0,"2 BHK Independent House  - 901 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
1,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
2,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
3,"2 BHK Independent House  - 1,250 sq ftBijnor, Lucknow",43,Carpet area1000 sq ftStatusReady to moveBathrooms1Balconies1
4,"3 BHK Villa  - 1,150 sq ftGomti Nagar, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
5,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
6,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
7,"2 BHK Villa  - 1,250 sq ft yash park city safedabadSafedabad, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
8,"2 BHK Villa  - 1,000 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
9,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
10,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
11,"2 BHK Villa  - 750 sq ft amity villaAmity University Road, Lucknow",36,StatusReady to moveBathrooms2New/ResaleNew
12,"2 BHK Villa  - 800 sq ft amity villaNijampur Malhaur, Lucknow",40,StatusReady to moveBathrooms2New/ResaleNew
13,"1 BHK Independent House  - 700 sq ftSugamau Road, Lucknow",27,Carpet area620 sq ftStatusReady to moveBathrooms1Balconies1
14,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
15,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
16,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
17,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
18,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
19,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
20,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
21,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
22,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",22.5,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
23,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
24,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
25,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
26,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
27,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
28,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
29,"2 BHK Villa  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
30,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
31,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
32,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
33,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
34,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
35,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
36,"2 BHK Independent House  - 800 sq ftKamta Chinhut, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms1Additional Rooms3 rooms(study room, servant room, pooja room)"
37,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
38,"2 BHK Independent House  - 800 sq ftHarihar Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
39,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
40,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
41,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
