,house_details,price_lakh,other_details
0,"3 BHK Independent House  - 1,550 sq ftSwapnil SangamBijnor, Lucknow",50,Carpet area1100 sq ftStatusReady to moveBathrooms3Additional Rooms1 rooms(study room)
1,Swapnil Sangam ,38,"TypeIndependentHouseCarpet Area950 - 1,400 sq ftStatusReady to Move"
2,"2 BHK Independent House  - 700 sq ft jankipuram houseJankipuram, Lucknow",33,"Carpet area680 sq ftStatusReady to moveBathrooms2Additional Rooms2 rooms(study room, pooja room)"
3,"2 BHK Independent House  - 800 sq ft Kohinoor residency phase 2Kursi Road, Lucknow",33.5,"StatusReady to moveBathrooms2Additional Rooms2 rooms(servant room, pooja room)"
4,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
5,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
6,"2 BHK Villa  - 1,200 sq ftHitashie Empire CityAnora Kala, Lucknow",49,StatusReady to moveBathrooms2New/ResaleNew
7,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
8,"2 BHK Villa  - 1,250 sq ft yash park city safedabadSafedabad, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
9,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
10,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
11,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
