,house_details,price_lakh,other_details
0,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area704 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
1,"2 BHK Independent House  - 900 sq ftBakshi Ka Talab, Lucknow",22.5,StatusReady to moveBathrooms2Balconies1
2,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area704 sq ftStatusUnder ConstructionBathrooms2Balconies1
3,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,StatusReady to moveBathrooms2New/ResaleNew
4,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
5,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,StatusUnder ConstructionBathrooms2New/ResaleNew
6,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
7,"2 BHK Independent House  - 1,000 sq ftBakshi Ka Talab, Lucknow",32,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleNew
8,"2 BHK Independent House  - 966 sq ftKursi Road, Lucknow",35,Carpet area734 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
9,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",32,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleResale
10,"2 BHK Independent House  - 1,100 sq ftSitapur Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
11,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
12,"2 BHK Independent House  - 966 sq ftKursi Road, Lucknow",35,StatusUnder ConstructionBathrooms2New/ResaleNew
13,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
14,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusUnder ConstructionBathrooms2Balconies1
15,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,StatusUnder ConstructionBathrooms2Additional Rooms1 rooms(pooja room)
16,"2 BHK Independent House  - 966 sq ftKursi Road, Lucknow",35,Carpet area734 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
17,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
