,house_details,price_lakh,other_details
18,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
19,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
20,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
21,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
22,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
23,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
24,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
25,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
26,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleNew
27,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleNew
28,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
29,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area704 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
30,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",32,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleResale
31,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
32,"2 BHK Independent House  - 1,000 sq ftBakshi Ka Talab, Lucknow",32,StatusReady to moveBathrooms2New/ResaleNew
33,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area704 sq ftStatusUnder ConstructionBathrooms2Balconies1
34,"2 BHK Independent House  - 1,250 sq ftKursi Road, Lucknow",38,Carpet area977 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
35,"2 BHK Independent House  - 1,200 sq ftBakshi Ka Talab, Lucknow",30,StatusReady to moveBathrooms2Balconies1
36,"2 BHK Independent House  - 1,003 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
37,"2 BHK Villa  - 1,003 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
38,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
39,"2 BHK Independent House  - 1,000 sq ftBakshi Ka Talab, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
40,"2 BHK Independent House  - 1,003 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
41,"2 BHK Villa  - 1,003 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
42,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
43,"2 BHK Independent House  - 1,000 sq ftBakshi Ka Talab, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2Balconies1
44,"2 BHK Independent House  - 1,000 sq ft Row houseGomti Nagar Extension, Lucknow",46,Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
45,"4 BHK Independent House  - 1,478 sq ft Royal city homes, ",40,Carpet area1000 sq ftStatusUnder ConstructionBathrooms3Balconies2
46,"2 BHK Villa  - 1,000 sq ft YASH PARK CITY ADDJCENT TO SHALIMAR PARADISEFaizabad Lucknow Road, Lucknow",46,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
47,"2 BHK Villa  - 1,250 sq ft Yash Park City sFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
48,"1 BHK Independent House  - 440 sq ftVrindavan Yojna, Lucknow",32,Carpet area430 sq ftStatusReady to moveBathrooms1New/ResaleResale
49,"3 BHK Independent House  - 1,500 sq ftAurangabad Khalsa, Lucknow",45,StatusReady to moveBathrooms3New/ResaleNew
50,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
51,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
52,"2 BHK Villa  - 1,250 sq ftYash Elite VillasChinhat, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
53,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
54,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
55,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
56,"2 BHK Villa  - 1,200 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
57,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
58,"2 BHK Villa  - 1,250 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
59,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
60,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
61,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
62,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
63,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
64,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
65,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",32,Carpet area900 sq ftStatusReady to moveBathrooms2New/ResaleResale
66,"2 BHK Villa  - 1,250 sq ftYash Elite VillasChinhat, Lucknow",49.9,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
67,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
68,"2 BHK Villa  - 1,000 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
69,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
70,"2 BHK Villa  - 1,250 sq ftYash Elite VillasChinhat, Lucknow",49.9,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleNew
71,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
72,"2 BHK Villa  - 1,000 sq ft yash park citysafedabadFaizabad Road, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
73,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
74,"2 BHK Villa  - 1,250 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
75,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
76,"2 BHK Villa  - 1,000 sq ftHitashie Empire CityAnora Kala, Lucknow",49.5,StatusReady to moveBathrooms2New/ResaleNew
77,Hitashie Empire City ,49.5,"TypeVillaAreaView Floor Plans1,000 - 1,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
78,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
79,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
80,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
81,"3 BHK Independent House  - 1,400 sq ftSitapur Road, Lucknow",45,Carpet area1000 sq ftStatusUnder ConstructionBathrooms3Balconies1
82,"2 BHK Villa  - 750 sq ft amity villaNijampur Malhaur, Lucknow",38,StatusReady to moveBathrooms2New/ResaleNew
83,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
84,"2 BHK Villa  - 1,250 sq ft yash park city adjcent shalimar paradiseFaizabad Road, Lucknow",46,StatusReady to moveBathrooms2New/ResaleNew
85,"2 BHK Villa  - 1,000 sq ft row house adjcent to rama degree collegeMalhaur Station Road, Lucknow",50,StatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
86,"2 BHK Villa  - 1,250 sq ft yash park city yash builder villaFaizabad Road, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
87,"3 BHK Villa  - 1,200 sq ftSevitam CityGomti Nagar, Lucknow",42,StatusReady to moveBathrooms3New/ResaleNew
88,Sevitam City ,14.99,"TypePlotAreaView Floor Plans1,000 - 2,500 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
89,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
90,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
91,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
92,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
93,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
94,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
95,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
96,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
97,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
98,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
99,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
100,"2 BHK Independent House  - 800 sq ftIsmailganj, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
101,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
102,"2 BHK Independent House  - 800 sq ftKamta Chinhut, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
103,"2 BHK Independent House  - 800 sq ftHarihar Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
104,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
105,"2 BHK Independent House  - 1,000 sq ftMalhaur Railway Station Road, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
106,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
107,"2 BHK Villa  - 1,250 sq ft Amantran villa opp to bbd collegeFaizabad Road, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
108,"2 BHK Villa  - 1,250 sq ft yash park cityfaijabad roadSafedabad, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
109,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area900 sq ftStatusUnder ConstructionBathrooms2New/ResaleNew
110,"2 BHK Independent House  - 900 sq ftBakshi Ka Talab, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2Balconies1
111,"2 BHK Villa  - 1,250 sq ft Rolex yash park cityFaizabad Road, Lucknow",46,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
