,house_details,price_lakh,other_details
0,"2 BHK Independent House  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
1,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
2,"2 BHK Villa  - 1,200 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
3,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
4,"2 BHK Villa  - 1,200 sq ftYash Elite VillasChinhat, Lucknow",49,StatusReady to moveBathrooms2New/ResaleResale
5,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
6,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
7,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
8,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
9,"2 BHK Independent House  - 1,001 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms1New/ResaleNew
10,"2 BHK Villa  - 1,400 sq ftYash Elite VillasChinhat, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
11,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
12,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
13,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
14,"2 BHK Villa  - 1,000 sq ftYash Elite VillasChinhat, Lucknow",49,StatusReady to moveBathrooms2New/ResaleNew
15,Yash Elite Villas ,45,"TypeVillaAreaView Floor Plans1,250 - 1,900 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
16,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",45.5,StatusReady to moveBathrooms2New/ResaleNew
17,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
18,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
19,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
20,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
21,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
22,"2 BHK Villa  - 1,001 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
23,"2 BHK Villa  - 901 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
