,house_details,price_lakh,other_details
24,"2 BHK Villa  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
25,"2 BHK Independent House  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
26,"3 BHK Independent House  - 1,260 sq ftVikas Nagar, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms3Balconies2
27,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
28,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
29,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
30,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
31,"2 BHK Villa  - 1,250 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
32,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
33,"2 BHK Villa  - 1,000 sq ft Amity villaAmity Road, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
34,"2 BHK Villa  - 1,000 sq ft amity villaAmity University Road, Lucknow",49,StatusReady to moveBathrooms2New/ResaleNew
35,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
36,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
37,"2 BHK Villa  - 1,250 sq ft amity villaNijampur Malhaur, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
38,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",46,StatusReady to moveBathrooms2New/ResaleNew
39,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
40,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
41,"2 BHK Villa  - 1,000 sq ftLucknow Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
42,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
43,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
44,"2 BHK Villa  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
45,"2 BHK Villa  - 800 sq ft amity villaNijampur Malhaur, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
46,"2 BHK Villa  - 1,000 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
47,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
48,"2 BHK Villa  - 1,000 sq ftYash Park CityUattardhona, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
49,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
50,"2 BHK Independent House  - 800 sq ftHarihar Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
51,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
52,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
53,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
54,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
55,"2 BHK Independent House  - 800 sq ftKamta Chinhut, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
56,"2 BHK Independent House  - 800 sq ftIsmailganj, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
57,"2 BHK Independent House  - 800 sq ftTakrohi, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
58,"2 BHK Independent House  - 800 sq ftKamta Chinhut, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
59,"2 BHK Independent House  - 800 sq ftSurendra Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
60,"2 BHK Independent House  - 800 sq ftHarihar Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
61,"2 BHK Independent House  - 800 sq ftMunshi Pulia, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
62,"2 BHK Independent House  - 800 sq ftIndira Nagar, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
63,"2 BHK Independent House  - 800 sq ftIsmailganj, Lucknow",40,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
64,"2 BHK Villa  - 1,250 sq ft residential villaTiwariganj, Lucknow",46,StatusReady to moveBathrooms2New/ResaleNew
65,"2 BHK Independent House  - 1,000 sq ftMalhaur Railway Station Road, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
66,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
67,"2 BHK Independent House  - 1,000 sq ftMalhaur Railway Station Road, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
68,"2 BHK Independent House  - 1,000 sq ftGomti Nagar Extension, Lucknow",40,"Carpet area999 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
69,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
70,"2 BHK Independent House  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
71,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
72,"2 BHK Villa  - 1,000 sq ft Yash park city safedabadFaizabad Road, Lucknow",45,StatusReady to moveBathrooms2Balconies1
73,"2 BHK Independent House  - 866 sq ft Kalpana ResidencyRai Bareilly road, Lucknow",20,Carpet area800 sq ftStatusUnder ConstructionBathrooms2Balconies1
74,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
75,"2 BHK Independent House  - 1,006 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
76,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
77,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
78,"3 BHK Independent House  - 1,300 sq ft Swastik VillasSultanpur Lucknow Road, Lucknow",47,Carpet area1200 sq ftStatusUnder ConstructionBathrooms3Balconies1
79,"3 BHK Villa  - 1,300 sq ft Swastik VillasSultanpur Road, Lucknow",47,Carpet area1200 sq ftStatusUnder ConstructionBathrooms3Balconies1
80,"2 BHK Independent House  - 900 sq ft Akhuratha VillasSGPGI Raibareli Road, Lucknow",22,Carpet area800 sq ftStatusUnder ConstructionBathrooms2Balconies1
81,"2 BHK Villa  - 1,350 sq ft janki vihar opp to vikalp khandMalhaur Station Road, Lucknow",46,Carpet area1100 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(pooja room)
82,"2 BHK Villa  - 1,250 sq ft janki vihar gomti nagarCHINHAT TIRAHA, Lucknow",46,Carpet area1100 sq ftStatusReady to moveBathrooms2Additional Rooms1 rooms(study room)
83,"2 BHK Independent House  - 1,000 sq ft kalpana ResidencyRaebareli Road, Lucknow",28,Carpet area950 sq ftStatusReady to moveBathrooms2Balconies1
84,"3 BHK Independent House  - 1,300 sq ft Swastik VillasSultanpur Road, Lucknow",47,Carpet area1200 sq ftStatusUnder ConstructionBathrooms3Balconies1
85,"2 BHK Villa  - 1,200 sq ftSahu Kalpana ResidencyMohanlalganj, Lucknow",28.99,Carpet area1000 sq ftStatusReady to moveBathrooms2Balconies1
86,Kalpana Residency ,31.5,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
87,"2 BHK Independent House  - 1,200 sq ftSitapur Road, Lucknow",32,Carpet area934 sq ftStatusReady to moveBathrooms2New/ResaleNew
88,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
89,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
