,house_details,price_lakh,other_details
0,"3 BHK Independent House  - 1,250 sq ftOmaxe City, Lucknow",46,Carpet area1100 sq ftStatusUnder ConstructionBathrooms3New/ResaleNew
1,"2 BHK Independent House  - 850 sq ftNijampur Malhaur, Lucknow",38,Carpet area850 sq ftStatusReady to moveBathrooms2New/ResaleResale
2,"2 BHK Independent House  - 1,035 sq ftJankipuram Extension, Lucknow",48,StatusReady to moveBathrooms2New/ResaleNew
3,"3 BHK Independent House  - 1,200 sq ftBhitauli, Lucknow",35,StatusReady to moveBathrooms2New/ResaleNew
4,"2 BHK Independent House  - 620 sq ftFazullaganj, Lucknow",25,Carpet area620 sq ftStatusReady to moveBathrooms2New/ResaleNew
5,"3 BHK Independent House  - 1,450 sq ftEldeco II, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms3New/ResaleNew
6,"3 BHK Independent House  - 1,450 sq ftOmaxe City, Lucknow",47,Carpet area1000 sq ftStatusUnder ConstructionBathrooms3New/ResaleNew
7,"2 BHK Independent House  - 1,300 sq ftYash Park CityUattardhona, Lucknow",49,StatusReady to moveBathrooms2New/ResaleNew
8,Yash Park City ,44,"TypeVilla, IndependentHouseAreaView Floor Plans1,000 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
9,"2 BHK Independent House  - 1,000 sq ftJankipuram Extension, Lucknow",50,StatusReady to moveBathrooms2New/ResaleNew
10,"2 BHK Independent House  - 1,050 sq ftJankipuram Extension, Lucknow",45,Carpet area749 sq ftStatusReady to moveBathrooms2New/ResaleNew
11,"3 BHK Independent House  - 1,300 sq ftJankipuram Extension, Lucknow",49,Carpet area1000 sq ftStatusReady to moveBathrooms3New/ResaleNew
12,"2 BHK Independent House  - 1,020 sq ftJankipuram Extension, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
13,"2 BHK Independent House  - 700 sq ftJankipuram Extension, Lucknow",33,Carpet area600 sq ftStatusReady to moveBathrooms1New/ResaleNew
14,"2 BHK Independent House  - 1,010 sq ftJankipuram Extension, Lucknow",45,StatusReady to moveBathrooms2New/ResaleNew
15,"2 BHK Independent House  - 800 sq ftJankipuram Extension, Lucknow",33,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
16,"2 BHK Independent House  - 1,250 sq ftSafedabad, Lucknow",50,Carpet area1250 sq ftStatusReady to moveBathrooms2New/ResaleNew
